"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","Lead",119,0.0132016806722689,0.010324054380248,0.013,0.0125
"Non-Fire Observations","Lead",276,0.00321884057971015,0.00372144743540639,0.00255,0.0017
