"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","Lead",156,0.0146923076923077,0.0147895409358036,0.014,0.01325
"Non-Fire Observations","Lead",232,0.00311724137931034,0.0039317946039035,0.0022,0.0019
