"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","SO2",129,1.0934765625,1.22431818702019,0.671,1.26725
"Non-Fire Observations","SO2",5938,1.47836324448027,1.59171833441784,1.08333333333333,1.85760869565217
