"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","O3",267,0.0232771535580524,0.0115900350373957,0.022,0.0185
"Non-Fire Observations","O3",12022,0.0255824252820662,0.0100537477946187,0.025208333,0.014130435
