"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","PM2.5",79,5.03298734177215,3.11720380738263,4.1,3.2
"Non-Fire Observations","PM2.5",28483,4.5957307973177,4.69373773101093,3.8,3.675
