"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","Lead",135,0.0188148148148148,0.02553200659903,0.01,0.015
"Non-Fire Observations","Lead",326,0.0198680981595092,0.0303579328484897,0.009,0.018
