"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","CO",117,0.425769230769231,0.289889764560284,0.346,0.346
"Non-Fire Observations","CO",29080,0.415699107088598,0.269030605992333,0.354166666666667,0.283333333333333
