"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","CO",214,0.313514018691589,0.18138887049035,0.296,0.22825
"Non-Fire Observations","CO",21066,0.416128870966333,0.269645631929975,0.354166666666667,0.283333333333333
