"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","PM2.5",922,7.87597180043384,6.92668432503009,5.65,6.578
"Non-Fire Observations","PM2.5",7362,8.65790166612334,9.04225528088817,5.8,6.8
