"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","SO2",147,1.03583673469388,0.81624589231647,0.824,0.8505
"Non-Fire Observations","SO2",4095,0.723025212050286,0.932448458574352,0.473913043478261,0.724404761904762
