"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","PM10",147,20.9115646258503,20.9254793794839,18,13.5
"Non-Fire Observations","PM10",8021,19.5254955741179,18.6316172571074,15,14
