"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","SO2",220,0.662486111111111,0.892429274009166,0.348,0.957
"Non-Fire Observations","SO2",68001,0.813116131059136,0.930584000265903,0.608695652173913,0.982352941176471
