"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","SO2",82,1.41356097560976,2.38650631624361,0.809,1.52025
"Non-Fire Observations","SO2",8436,1.14039477534404,2.52279074831232,0.291666666666667,1.36666666666667
