"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","NO2",119,8.83197478991597,6.80740866905276,7.458,7.235
"Non-Fire Observations","NO2",20364,7.47598751464345,5.87284855438956,5.875,6.91666666666667
