"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","CO",106,0.543769230769231,0.28743770049425,0.5215,0.49325
"Non-Fire Observations","CO",4211,0.330007062550942,0.234235289395567,0.2541667,0.247312466666667
