"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","CO",606,0.551799668874172,0.290789252414797,0.525,0.36925
"Non-Fire Observations","CO",3068,0.325989978862686,0.234806981838493,0.247604166666667,0.245260416666667
