"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","PM2.5",1487,8.16586320754717,8.55322720067377,6.3,5.6
"Non-Fire Observations","PM2.5",31631,8.10124720884575,7.76304952898041,5.9125,6.35
