"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","SO2",297,0.523513793103448,0.656234852373745,0.213,1
"Non-Fire Observations","SO2",2279,1.08433472916492,0.582735425039639,1,0.64166666666667
