"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","Lead",297,0.00872727272727273,0.0157077306121158,0.005,0.006
"Non-Fire Observations","Lead",468,0.00938888888888889,0.0225259889031472,0.003,0.007
