"State","Var","Stat","DF","PVAL","note"
"AZ","NO2",3.01442957041665,1,0.0825264854479561,""
"CA","NO2",74.2606455337164,1,6.84546719555384e-18,""
"CO","NO2",5.51903019515246,1,0.0188106842672636,""
"ID","NO2",44.831484457115,1,2.14741880215561e-11,""
"MT","NO2",523.14005195711,1,8.77780490025501e-116,""
"NV","NO2",0.0177430396649783,1,0.894032836980989,""
"NM","NO2",0.0423713362754846,1,0.836913559528381,""
"OR","NO2",0.363612214089199,1,0.54650691627701,""
"UT","NO2",0.0172390821561268,1,0.89553982283114,""
"WA","NO2",0.49196160832865,1,0.483053578396534,""
"WY","NO2",2.68593894992483,1,0.101237535917388,""
