unique_ID,Latitude,Longitude,Date,Year,State,Source,CO,CO_dist,CO_nobs,NO2,NO2_dist,NO2_nobs,O3,O3_dist,O3_nobs,SO2,SO2_dist,SO2_nobs,PM2.5,PM2.5_dist,PM2.5_daydiff,PM10,PM10_dist,PM10_daydiff,Lead,Lead_dist,Lead_daydiff,wind,wind_dist,tavg,tavg_dist,tmax,tmax_dist,tmin,tmin_dist,precip,precip_dist,PDSI,PM2.5_exc_val,PM2.5_exc_dist,PM2.5_exc_daydiff,PM10_exc_val,PM10_exc_dist,PM10_exc_daydiff,Lead_exc_val,Lead_exc_dist,Lead_exc_daydiff,CO_exc_val,CO_exc_dist,NO2_exc_val,NO2_exc_dist,O3_exc_val,O3_exc_dist,SO2_exc_val,SO2_exc_dist
33975,46,-113,2010-08-31,2010,MT,USFS,0.124,131.3705554,21,2.217,131.3705554,23,0.022,75.93303597,24,1.913,205.403985,23,3.712,23.96515885,0,14,23.96515885,0,0.004,368.8229088,1,2,24.12765631,3.7,9.31633344,8.1,9.31633344,-0.2,9.31633344,5.1,9.31633344,1.88,NA,NA,NA,210,627.473,3,0.24,873.541,0,NA,NA,NA,NA,0.071,543.964,NA,NA
33976,45.3076,-117.3796,2010-09-01,2010,OR,USFS,0.146,128.5857064,24,7.625,128.5857064,24,0.022,98.06874405,18,0.571,128.5857064,24,5.8,34.87059397,2,19,34.87059397,2,0.028,281.5573372,2,1.7,38.37669867,5.5,10.52631477,16.7,8.098724707,7.2,8.098724707,4.3,6.575023361,2.29,NA,NA,NA,NA,NA,NA,0.31,782.9,0,NA,NA,NA,NA,0.081,488.337,NA,NA
33979,47.3216,-115.5923,2010-09-30,2010,ID,USFS,0.467,88.32787533,24,1.217,65.1695776,23,0.021,65.1695776,24,0.862,259.9708287,24,7.196,22.66723029,0,24,22.66723029,1,0.003,389.6099173,1,3.1,9.678722299,14.1,11.04649845,26.7,9.218521015,4.4,9.218521015,0,9.218521015,1.85,37.833,802.446,0,305,952.264,0,0.59,930.931,0,NA,NA,NA,NA,0.079,360.113,166,1021.759
33980,41.3116,-120.3498,2010-09-22,2010,CA,USFS,0.062,118.3405363,24,9.125,126.8282829,24,0.033,83.4162258,24,0,194.2569309,22,8.5,60.705628,1,16,93.68445094,1,0.002,133.119595,5,1.8,16.69284639,9.4,2.217137224,17.2,2.217137224,1.7,2.217137224,0,15.9181093,1.24,NA,NA,NA,283,658.595,3,0.37,518.873,0,NA,NA,NA,NA,0.073,545.673,NA,NA
33981,41.3117,-120.3499,2010-07-14,2010,CA,USFS,0.246,118.3484611,24,10.708,126.8362027,24,0.039,83.41659823,24,0,194.2620921,23,3.3,60.6986929,1,8,93.67599475,1,0.001,133.1220465,5,2,16.68422642,18.8,2.225165745,27.8,2.225165745,7.2,2.225165745,0,15.90946465,1.75,44.2,1673.832,1,201,354.343,1,0.26,518.881,0,NA,NA,NA,NA,0.072,117.967,NA,NA
33982,45.9429,-117.6398,2010-08-15,2010,OR,USFS,0.275,118.8196913,24,1.522,133.6578505,23,0.028,78.54990511,24,0.517,173.9837227,24,5.1,47.22229259,3,11,47.22229259,3,0.02,271.8394697,3,0,17.08557327,22.7,2.719121589,32.2,2.719121589,11.7,2.719121589,0,15.13463574,2.7,NA,NA,NA,169,943.697,0,0.28,826.172,1,NA,NA,NA,NA,0.075,241.62,NA,NA
33983,45.9423,-117.6156,2010-08-15,2010,OR,USFS,0.275,118.7648138,24,1.522,133.3640337,23,0.028,79.70558939,24,0.517,173.5155597,24,5.1,47.74309308,3,11,47.74309308,3,0.02,272.9848076,3,0,16.83750834,22.7,1.699758516,32.2,1.699758516,11.7,1.699758516,0,16.28927791,2.7,NA,NA,NA,169,943.25,0,0.28,826.176,1,NA,NA,NA,NA,0.075,242.774,NA,NA
33985,47.4847,-116.1232,2010-03-22,2010,ID,USFS,0.692,61.50110529,24,6.442,302.2844639,24,0.041,268.6612198,24,0.05,268.8790888,18,8.083,6.394349812,0,6,6.394349812,0,0.029,370.3289923,1,2,22.44171423,1.6,8.436067687,15,3.403519318,-3.9,3.403519318,0.8,8.989970879,-2.38,NA,NA,NA,339,777.521,0,0.38,938.499,1,NA,NA,NA,NA,0.071,928.037,79,1039.727
33986,47.585,-116.1152,2010-09-04,2010,ID,USFS,0.258,60.87937844,24,1.565,35.06062749,23,0.036,35.06062749,24,0.675,275.8264866,24,5,6.591795863,0,24,6.591795863,0,0.004,373.3609908,1,3,23.6840785,18.3,9.512163494,23.3,9.512163494,11.1,9.512163494,0,11.45718399,1.85,NA,NA,NA,357,673.555,3,0.77,945.428,0,NA,NA,NA,NA,0.071,585.254,144,1046.234
33987,47.5805,-116.1111,2010-11-30,2010,ID,USFS,0.762,61.09763226,24,7.267,301.2529648,24,0.033,270.2564042,23,0.288,275.5236667,24,22.75,6.607955493,0,14,6.607955493,0,0.003,373.4139515,2,3.3,23.39189156,-3.1,9.181197265,-1.1,9.181197265,-5.6,9.181197265,0,2.7656103,1.73,38.417,725.221,0,208,1030.802,1,0.16,945.144,1,NA,NA,NA,NA,NA,NA,NA,NA
