"Date","State","Lead","Type"
2007-02-11,"6",0.0017,"Non-Fire Observations"
2007-02-11,"6",0.0055,"Non-Fire Observations"
2007-02-11,"6",7e-04,"Non-Fire Observations"
2007-02-11,"6",7e-04,"Non-Fire Observations"
2007-02-11,"6",0.01,"Non-Fire Observations"
2007-02-11,"6",7e-04,"Non-Fire Observations"
2007-02-11,"6",0,"Non-Fire Observations"
2007-02-11,"6",0.024,"Non-Fire Observations"
2007-02-11,"8",0.0077,"Non-Fire Observations"
2007-02-11,"8",0.0081,"Non-Fire Observations"
2007-02-11,"6",0.017,"Non-Fire Observations"
2007-02-11,"6",0.0028,"Non-Fire Observations"
2007-02-11,"6",0.017,"Non-Fire Observations"
2007-02-14,"6",0.0045,"Non-Fire Observations"
2007-02-14,"6",0.023,"Non-Fire Observations"
2007-02-17,"6",0,"Non-Fire Observations"
2007-02-17,"6",0.0032,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"6",0.02,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"8",0.0051,"Non-Fire Observations"
2007-02-17,"6",0.0026,"Non-Fire Observations"
2007-02-17,"6",0.0066,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"6",0.01,"Non-Fire Observations"
2007-02-17,"6",7e-04,"Non-Fire Observations"
2007-02-17,"6",0.04,"Non-Fire Observations"
2007-02-17,"6",0.0059,"Non-Fire Observations"
2007-02-17,"8",0.0051,"Non-Fire Observations"
2007-02-17,"6",0.0056,"Non-Fire Observations"
2007-02-17,"6",0.0059,"Non-Fire Observations"
2007-02-17,"6",0.0029,"Non-Fire Observations"
2007-02-17,"6",0,"Non-Fire Observations"
2007-02-17,"6",0.0047,"Non-Fire Observations"
2007-02-17,"6",0,"Non-Fire Observations"
2007-02-21,"6",0.0088,"Non-Fire Observations"
2007-02-23,"6",0,"Non-Fire Observations"
2007-02-23,"8",0.0117,"Non-Fire Observations"
2007-02-23,"6",0.005,"Non-Fire Observations"
2007-02-23,"6",0,"Non-Fire Observations"
2007-02-23,"8",0.0104,"Non-Fire Observations"
2007-02-23,"6",0.0023,"Non-Fire Observations"
2007-02-23,"6",0.0049,"Non-Fire Observations"
2007-02-23,"6",0,"Non-Fire Observations"
2007-02-23,"6",0,"Non-Fire Observations"
2007-02-23,"6",0.0032,"Non-Fire Observations"
2007-02-23,"6",0.0041,"Non-Fire Observations"
2007-02-23,"6",7e-04,"Non-Fire Observations"
2007-02-23,"6",0.018,"Non-Fire Observations"
2007-02-23,"6",7e-04,"Non-Fire Observations"
2007-02-23,"6",0.0052,"Non-Fire Observations"
2007-02-23,"6",0.0049,"Non-Fire Observations"
2007-02-23,"6",0.01,"Non-Fire Observations"
2007-02-23,"6",0.0043,"Non-Fire Observations"
2007-02-23,"6",0,"Non-Fire Observations"
2007-02-27,"6",0.002,"Non-Fire Observations"
2007-02-27,"6",7e-04,"Non-Fire Observations"
2007-02-27,"6",0.0049,"Non-Fire Observations"
2007-03-04,"6",0.0079,"Non-Fire Observations"
2007-03-06,"6",0,"Non-Fire Observations"
2007-03-07,"6",0.0044,"Non-Fire Observations"
2007-03-07,"8",0.0119,"Non-Fire Observations"
2007-03-07,"6",0.0081,"Non-Fire Observations"
2007-03-07,"6",0.0067,"Non-Fire Observations"
2007-03-07,"6",0.0058,"Non-Fire Observations"
2007-03-07,"6",0.01,"Non-Fire Observations"
2007-03-07,"8",0.0104,"Non-Fire Observations"
2007-03-07,"6",0.01,"Non-Fire Observations"
2007-03-07,"6",0.03,"Non-Fire Observations"
2007-03-07,"6",0.005,"Non-Fire Observations"
2007-03-07,"6",0.035,"Non-Fire Observations"
2007-03-07,"6",0.01,"Non-Fire Observations"
2007-03-07,"6",0.003,"Non-Fire Observations"
2007-03-07,"6",0.0091,"Non-Fire Observations"
2007-03-07,"6",0.02,"Non-Fire Observations"
2007-03-07,"6",0.01,"Non-Fire Observations"
2007-03-07,"6",0.01,"Non-Fire Observations"
2007-03-07,"6",0.0057,"Non-Fire Observations"
2007-03-07,"6",0.0076,"Non-Fire Observations"
2007-03-07,"6",0.054,"Non-Fire Observations"
2007-03-10,"6",0.0047,"Non-Fire Observations"
2007-03-10,"6",0.0077,"Non-Fire Observations"
2007-03-13,"6",0.01,"Non-Fire Observations"
2007-03-13,"6",0.01,"Non-Fire Observations"
2007-03-13,"6",0.011,"Non-Fire Observations"
2007-03-13,"6",0.01,"Non-Fire Observations"
2007-03-13,"8",0.012,"Non-Fire Observations"
2007-03-13,"6",0.01,"Non-Fire Observations"
2007-03-13,"6",0.04,"Non-Fire Observations"
2007-03-13,"6",0.09,"Non-Fire Observations"
2007-03-13,"6",0.028,"Non-Fire Observations"
2007-03-13,"8",0.0115,"Non-Fire Observations"
2007-03-13,"6",0.013,"Non-Fire Observations"
2007-03-13,"6",0.018,"Non-Fire Observations"
2007-03-13,"6",0.03,"Non-Fire Observations"
2007-03-13,"6",0.011,"Non-Fire Observations"
2007-03-13,"6",0.01,"Non-Fire Observations"
2007-03-13,"6",0.013,"Non-Fire Observations"
2007-03-13,"6",0.076,"Non-Fire Observations"
2007-03-13,"6",0.01,"Non-Fire Observations"
2007-03-13,"6",0.011,"Non-Fire Observations"
2007-03-19,"6",0.0053,"Non-Fire Observations"
2007-03-19,"6",0.01,"Non-Fire Observations"
2007-03-19,"6",0.01,"Non-Fire Observations"
2007-03-19,"8",0.0093,"Non-Fire Observations"
2007-03-19,"6",0,"Non-Fire Observations"
2007-03-19,"6",0.0041,"Non-Fire Observations"
2007-03-19,"8",0.0102,"Non-Fire Observations"
2007-03-19,"6",0.01,"Non-Fire Observations"
