"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","O3",82,0.037719512195122,0.0123940192568575,0.038,0.016
"Non-Fire Observations","O3",42188,0.0344767332193265,0.0133942404785498,0.036,0.0181775362318841
