"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","Lead",817,0.00574663402692778,0.0171382982302757,0.003,0.003
"Non-Fire Observations","Lead",8873,0.0642498253127465,0.274581495952575,0.01,0.029
