"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","Lead",220,0.01765,0.0654666442308548,0.004,0.007
"Non-Fire Observations","Lead",11636,0.0630749140598144,0.279985314868666,0.01,0.027
