"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","PM2.5",220,10.1332909090909,10.6208879586003,8,6.575
"Non-Fire Observations","PM2.5",197491,10.5125376013641,8.99924195862739,8.375,7.45
