"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","NO2",103,2.50454368932039,3.4260876869629,1.917,1.792
"Non-Fire Observations","NO2",10891,1.66044818394259,1.62794815054702,1.30434782608696,1.79487179487179
