"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","O3",106,0.0342641509433962,0.0110791970542759,0.036,0.012
"Non-Fire Observations","O3",5337,0.0346341437884564,0.0100329661687227,0.0350833333333333,0.013
