"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","O3",606,0.0300346534653465,0.0104209160522153,0.032,0.013
"Non-Fire Observations","O3",3522,0.0349433157629188,0.00996995885587314,0.0357071065,0.01308333625
