"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","O3",214,0.0412196261682243,0.0110756420918571,0.041,0.016
"Non-Fire Observations","O3",57371,0.0349319387072737,0.011662719795556,0.035625,0.015810939
