"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","NO2",220,8.99152511415525,7.33881165561347,6.913,6.963
"Non-Fire Observations","NO2",202098,11.326985849556,8.69706241790096,9.04347826086956,11.1217391304348
