"State","Var","Stat","DF","PVAL","note"
"AZ","CO",0.0640429617464053,1,0.80021635482275,""
"CA","CO",1.28456640452892,1,0.257051713013581,""
"CO","CO",0.017113377054258,1,0.895919198973474,""
"ID","CO",62.1101406017169,1,3.24774672526209e-15,""
"MT","CO",0.335470125619084,1,0.562455695253814,""
"NV","CO",0.0209959963056837,1,0.884789863745582,""
"NM","CO",4.90415559371575,1,0.0267921478481903,""
"OR","CO",1.71231927195772,1,0.190684733130008,""
"UT","CO",4.02712226199716,1,0.0447742533799981,""
"WA","CO",84.6243206317439,1,3.6079967764011e-20,""
"WY","CO",23.4430128323345,1,1.28669198386958e-06,""
