"State","Var","Stat","DF","PVAL","note"
"AZ","Lead",4.93846143811388,1,0.0262654064349423,""
"CA","Lead",68.2259512254159,1,1.45794321090415e-16,""
"CO","Lead",6.04113828316532,1,0.013976270006023,""
"ID","Lead",117.760183101519,1,1.956722382408e-27,""
"NV","Lead",26.1908419323379,1,3.0928584621505e-07,""
"NM","Lead",117.217135727777,1,2.57298784412045e-27,""
"OR","Lead",14.3425760174521,1,0.000152379376583745,""
"UT","Lead",0.816903006035068,1,0.366087212866149,""
"WA","Lead",1.49942640355524,1,0.220759640193348,""
