"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","Lead",11,0.00272727272727273,0.00161807966991178,0.002,0.0015
"Non-Fire Observations","Lead",110,0.0032,0.00206677517718486,0.003,0.002
