"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","Lead",147,0.0109455782312925,0.0170831096239424,0.005,0.0085
"Non-Fire Observations","Lead",202,0.0159806930693069,0.0280080811635239,0.0033,0.018475
