"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","PM2.5",156,5.36402564102564,2.53203505288053,5,3.2
"Non-Fire Observations","PM2.5",7699,6.69185570554617,4.83378206738871,5.5,4.2713635
