"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","NO2",214,14.6198317757009,7.88371471983698,13.8885,11.88575
"Non-Fire Observations","NO2",11308,16.1168807016382,9.27575245071527,14.4583333333333,13.6813858695653
