"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","PM2.5",214,6.2373785046729,3.07008882771366,5.8,3.375
"Non-Fire Observations","PM2.5",22933,8.6600500742598,5.9321125130638,7.4,5.1
