"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","SO2",82,1.01679268292683,1.29233912471887,0.5855,0.9555
"Non-Fire Observations","SO2",2560,0.830460952138794,0.85254997261779,0.541666666666667,0.958333333333333
