"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","NO2",82,2.57275609756098,3.96241394675723,1.3145,2.20025
"Non-Fire Observations","NO2",22597,2.8043859324504,3.48572612109475,1.63636363636364,2.8375
