"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","SO2",103,1.8061067961165,3.29959948226822,0.826,1.7965
"Non-Fire Observations","SO2",13128,1.76536941420991,2.36742040150576,1,2.04372412008282
