"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","CO",817,0.329328834355828,0.213422772780962,0.274,0.2
"Non-Fire Observations","CO",103139,0.364774649609883,0.261115706807173,0.304347826086957,0.254308876811594
