"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","PM2.5",171,5.90449707602339,2.90503482083873,5.4,3.5
"Non-Fire Observations","PM2.5",13873,7.37555852396742,5.07738977709403,6.3,4.7
