"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","PM2.5",147,7.72601360544218,6.05796094587374,6.6,6.25
"Non-Fire Observations","PM2.5",36357,7.72033965005363,6.29652007204519,5.983333,5.75
