"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (USFS)","PM2.5",267,8.01206367041198,6.56372424310619,5.688,5.6
"Non-Fire Observations","PM2.5",26643,7.40792474755095,6.09242813095569,5.7,5.7
