"Type","Var","count","mean","sd","median","IQR"
"Fire Observations (DOI)","CO",168,0.413672619047619,0.233120680037964,0.3685,0.24125
"Non-Fire Observations","CO",8995,0.487688124012625,0.324584878332327,0.4041667,0.375
